Name,Id,TotalNumRide,TotalNumGetOff,NumRideByCard,NumGetOffByCard,NumRideByCash,AveNumGetOff
시립가좌테니스장,37581,195,1181,183,1181,12,44
시립가좌테니스장,37582,177,2498,171,2498,6,86
시민공원,37359,14207,4760,13812,4760,395,611
시민공원(문화창작지대)역,37344,21421,19153,21112,19153,309,1308
시민공원(문화창작지대)역,37346,32500,30673,31823,30673,677,2037
시민공원.문화창작지대,37334,18457,32197,17990,32197,467,1634
시민공원.문화창작지대,37468,1676,1725,1640,1725,36,109
시민공원역.포레나미추홀,37319,8545,60834,8392,60834,153,2238
시민공원역.포레나미추홀,37326,84069,18484,83027,18484,1042,3308
시민의숲.양재꽃시장,31002,15392,4565,15372,4565,20,643
시민의숲.양재꽃시장,31003,1674,3343,1668,3343,6,161
시장로터리(중앙철재),40261,2583,2010,2562,2010,21,148
시청광장입구,39217,16962,20617,16637,20617,325,1212
시청광장입구,39218,21236,18066,21059,18066,177,1267
시흥대야역.영남아파트,70027,354,1498,354,1498,0,59
시흥대야역.영남아파트,70028,1487,355,1451,355,36,59
시흥보건소,70015,2067,416,2030,416,37,80
시흥보건소,70016,501,1748,474,1748,27,72
시흥영업소,25846,162,80,162,80,0,7
시흥영업소,25847,59,145,58,145,1,6
신골입구,43998,22,58,17,58,5,2
신골입구,43999,66,18,64,18,2,2
신광주유소,43470,2,2,2,2,0,0
신광주유소,43524,2,12,2,12,0,0
신광초등학교,35142,474,379,448,379,26,27
신기.남부종합시장(진흥사거리),37217,52295,30560,51082,30560,1213,2672
신기.남부종합시장(진흥사거리),37219,17042,29919,16601,29919,441,1514
신김포농협대곶지점,80147,76,48,75,48,1,4
신김포농협대곶지점,80148,167,170,158,170,9,10
신논현역,32055,12423,100,12411,100,12,403
신논현역.우신빌딩,31057,59,6931,59,6931,0,225
신당리동촌부락,90090,5,0,4,0,1,0
신당리마을회관,90087,2,2,1,2,1,0
신당리마을회관,90088,11,1,11,1,0,0
신당촌,90114,15,0,15,0,0,0
신대진중앙아파트,41271,3840,3172,3796,3172,44,226
신대진중앙아파트,41274,2295,3613,2274,3613,21,190
신도실업(주),40625,617,1778,615,1778,2,77
신동마을,90253,4,3,4,3,0,0
신동마을,90254,17,13,15,13,2,0
신동아1.2차아파트,37507,10884,6445,10715,6445,169,559
신동아1단지,70038,174,164,140,164,34,10
신동아1단지.한일아파트,70037,161,174,159,174,2,10
신동아3차아파트,37119,13145,17197,12892,17197,253,978
신동아3차아파트,37120,12235,21191,12116,21191,119,1078
신동아3차아파트,37494,12415,5922,12189,5922,226,591
신동아상가,40860,5671,4271,5639,4271,32,320
신동아상가(백운역방면),40068,5275,7464,5179,7464,96,410
신동아아파트,37072,13,1091,12,1091,1,35
신동아아파트,37143,9476,14355,9247,14355,229,768
신동아아파트,37160,6296,8140,6173,8140,123,465
신동아아파트,37525,2630,8633,2543,8633,87,363
신동아아파트,39381,3554,7555,3513,7555,41,358
신동아아파트,39382,18466,7206,18218,7206,248,828
신동아아파트,41349,7560,994,7540,994,20,275
신동아아파트,41350,1667,6885,1641,6885,26,275
신동아아파트(B),37162,12167,11477,11979,11477,188,762
신동아아파트116동,40060,3332,11398,3265,11398,67,475
신동아아파트116동,40859,7997,3010,7957,3010,40,355
신동아아파트3차,37090,10975,1117,10783,1117,192,390
신동아아파트3차,37097,3907,9689,3809,9689,98,438
신동아아파트4차,37121,5245,1651,5161,1651,84,222
신동아아파트4차,37123,2417,3751,2352,3751,65,198
신동아아파트5차,37141,13497,4295,13317,4295,180,573
신동아아파트8차,37135,1723,3513,1686,3513,37,168
신동아아파트8차,37136,5231,1079,5166,1079,65,203
신동양아파트,41202,3019,8469,2990,8469,29,370
신동양아파트,41203,8286,3893,8162,3893,124,392
신라아파트,37277,7492,6643,7310,6643,182,455
신라아파트,37543,1678,4218,1609,4218,69,190
신명보람마을.삼부한신아파트,40511,2135,2803,2075,2803,60,159
신명보람마을.삼부한신아파트,40512,649,804,634,804,15,46
신명스카이뷰,35453,1315,2477,1267,2477,48,122
신명스카이뷰,35456,6084,4998,5904,4998,180,357
신명스카이뷰,42737,171,282,168,282,3,14
신명스카이뷰정문,35455,6448,6063,6293,6063,155,403
신명아파트,42081,9409,12311,9188,12311,221,700
신명아파트.대우3차아파트,70018,433,3031,398,3031,35,111
신명아파트앞,42799,17,1291,17,1291,0,42
신반포역.세화여중고,31033,933,63,930,63,3,32
신봉삼거리,43126,90,5,90,5,0,3
신봉삼거리,43127,8,35,7,35,1,1
신봉삼거리,43463,22,33,20,33,2,1
신봉삼거리,43814,15,18,15,18,0,1
신봉이발관,43458,43,3,41,3,2,1
신봉이발관,43786,0,61,0,61,0,1
신북항고가교,42104,3107,2419,3063,2419,44,178
신북항고가교,42109,2150,2730,2138,2730,12,157
신분당선.강남역4번출구,23572,12083,2626,12076,2626,7,474
신비마을아파트,37164,312,1918,300,1918,12,71
신비마을아파트,37223,5086,8107,5012,8107,74,425
신비마을아파트,37225,6868,4607,6749,4607,119,370
신비마을아파트,37555,358,1399,352,1399,6,56
신비마을아파트(112동),37171,5424,3941,5252,3941,172,302
신삼1리마을회관,43405,156,2,147,2,9,5
신삼1리마을회관,43791,10,124,9,124,1,4
신삼2리마을회관,43400,114,1,102,1,12,3
신삼2리마을회관,43825,14,109,13,109,1,3
신삼리입구,43606,13,11,12,11,1,0
신삼리입구,43801,18,65,18,65,0,2
신선지입구,90346,21,1,16,1,5,0
신선지입구,90347,0,17,0,17,0,0
신선초등학교,35086,6434,11412,6328,11412,106,575
신선초등학교(유림노르웨이숲),35089,7347,3638,7230,3638,117,354
신선초등학교앞,37055,3026,1010,2904,1010,122,130
신설동,35413,9,74,8,74,1,2
신설동,35416,41,24,38,24,3,2
신설동(3거리),35018,182,18,167,18,15,6
신설동(3거리),35019,26,262,25,262,1,9
신성미소지움,40099,2671,34,2433,34,238,87
신성미소지움,40102,99,2154,22,2154,77,72
신성미소지움,40643,1774,13233,1747,13233,27,484
신성미소지움,40649,6787,2165,6657,2165,130,288
신성미소지움후문,40660,2,417,2,417,0,13
신성성결교회(올림피아병원),39355,12926,8203,12748,8203,178,681
신세계아파트,39383,3176,4836,3062,4836,114,258
신송고등학교,38023,1785,3383,1704,3383,81,166
신송고등학교,38024,3524,2586,3258,2586,266,197
신안실크밸리,35220,813,320,775,320,38,36
신연수역(1번출구),38263,4435,4899,4342,4899,93,301
신연수역(2번출구),38231,2851,656,2839,656,12,113
신연수역(3번출구),38228,6128,4401,6043,4401,85,339
신영자동차,40561,4361,698,4301,698,60,163
신영자동차(종점),40556,5698,2864,5613,2864,85,276
신왕마을,43203,193,4,175,4,18,6
신왕마을,43718,2,121,2,121,0,3
신원기술,39130,19,11,18,11,1,0
신원아침도시오피스텔(홈플러스),39836,6274,6468,6208,6468,66,411
신일교회,39529,4648,7722,4538,7722,110,399
신일아파트,35097,28,2,28,2,0,0
신정1리마을회관,43300,24,8,23,8,1,1
신정1리마을회관,43737,16,1,14,1,2,0
신정삼거리,90111,0,7,0,7,0,0
신정삼거리,90112,18,2,15,2,3,0
신정중학교,38459,1097,1293,1015,1293,82,77
신정중학교,38555,1602,640,1516,640,86,72
신중동역4번출구.롯데백화점,55226,2098,7419,2093,7419,5,307
신중동역5번출구.중흥중학교,55071,1049,7493,1047,7493,2,275
신중동역6번출구.중흥중학교,55072,4174,775,4172,775,2,159
신지동마을회관,43303,88,56,85,56,3,4
신지동마을회관,43740,83,39,78,39,5,3
신진아파트,41107,26710,13931,26441,13931,269,1311
신창아파트,37010,3439,6686,3076,6686,363,326
신창아파트,37464,5649,2152,5577,2152,72,251
신천동,70048,7832,587,7638,587,194,271
신천동,70049,380,7859,364,7859,16,265
신천삼거리,70013,7659,410,7464,410,195,260
신천삼거리,70014,569,7606,542,7606,27,263
신천역.문화의거리,25364,1094,338,1083,338,11,46
신천역.문화의거리,70174,214,1173,199,1173,15,44
신천연합병원,70175,72,786,68,786,4,27
신천연합병원,70231,699,234,695,234,4,30
신촌,43146,47,0,47,0,0,1
신촌,43432,9,8,9,8,0,0
신촌,43459,273,12,263,12,10,9
신촌,43510,0,23,0,23,0,0
신촌,43753,23,182,23,182,0,6
신촌,43800,62,57,62,57,0,3
신촌마을입구,90201,31,10,27,10,4,1
신촌마을입구,90202,2,4,1,4,1,0
신촌역2호선,22052,4508,65,4499,65,9,147
신촌오거리.2호선신촌역,22014,6689,96,6670,96,19,218
신촌오거리.2호선신촌역,23035,89,3151,86,3151,3,104
신촌오거리.현대백화점,22013,12932,137,12887,137,45,421
신촌오거리.현대백화점,23034,285,16544,283,16544,2,542
신촌초등학교,40098,250,794,233,794,17,33
신태양아파트,37406,6091,7744,6024,7744,67,446
신태양아파트,37408,9529,4147,9479,4147,50,441
신트리공원,40472,2382,2540,2281,2540,101,158
신트리공원,40496,2664,4395,2591,4395,73,227
신트리공원,40501,2557,1683,2519,1683,38,136
신포동행정복지센터,35153,3911,2316,3850,2316,61,200
신포동행정복지센터,35154,1949,3610,1874,3610,75,179
신포사거리,35791,29,199,25,199,4,7
신포시장,35160,34682,55479,33861,55479,821,2908
신포시장,35254,59566,34901,58197,34901,1369,3047
신포역·인천세관역사공원,35792,233,138,232,138,1,11
신포역·인천세관역사공원,35796,18,12,18,12,0,0
신포역·인천여자상업고등학교,35149,1736,7915,1607,7915,129,311
신포역·인천여자상업고등학교,35150,8041,2931,7973,2931,68,353
신포입구,43491,54,37,44,37,10,2
신포입구,43842,38,24,31,24,7,2
신한빌딩,39901,11150,9873,10999,9873,151,678
신한에이엠,89147,414,18,412,18,2,13
신한일전기,39034,2191,1280,2155,1280,36,111
신현119안전센터,42596,11190,14022,10974,14022,216,813
신현119안전센터,42600,8642,10795,8440,10795,202,627
신현노인회관,43279,40,6,37,6,3,1
신현노인회관,43527,18,33,17,33,1,1
신현리입구,90062,23,84,22,84,1,3
신현북초등학교,42208,4815,332,4771,332,44,166
신현북초등학교,42209,364,3707,354,3707,10,131
신현북초등학교,42210,1342,244,1316,244,26,51
신현북초등학교,42211,67,1608,61,1608,6,54
신현쇼핑,42217,35085,29051,34113,29051,972,2068
신현쇼핑,42220,48422,25640,47652,25640,770,2389
신현여자중학교후문,42214,3344,4266,3200,4266,144,245
신현여자중학교후문,42680,3552,1891,3454,1891,98,175
신현중학교,42205,127,3459,107,3459,20,115
신현초등학교,42178,1932,1989,1856,1989,76,126
신현초등학교,42179,2063,3212,2002,3212,61,170
신화빌라,42626,490,442,484,442,6,30
신화슈퍼,89314,161,0,153,0,8,5
신화슈퍼,89326,2,233,2,233,0,7
신흥교통,35501,357,100,312,100,45,14
신흥교통입구,35841,1383,28,1331,28,52,45
신흥동주민자치센터,35789,118,34,113,34,5,4
신흥동주민자치센터,35799,46,17,44,17,2,2
신흥시장,35145,12746,15608,12427,15608,319,914
